직장위치,직업개수,직장위치,직업 세부개수,직장위치,평균연봉,직업 구분,직업개수,기업,기업수,산업명,개수,직업기술,데이터 분석가,데이터 엔지니어,데이터 과학자,초급,중급,고급,연봉기술,<80000,80000-99999,100000-119999,120000-139999,140000-159999,>160000,초급직무 상위 4개 기술역량,초급개수,중급직무 상위 4개 기술역량,중급개수,고급직무 상위 4개 기술역량,고급개수,분석가 상위 4개 기술역량,분석가개수,엔지니어 상위 4개 기술역량,엔지니어개수,과학자 상위 4개 기술역량,과학자개수,연도,전체석사,전체박사,연도,직무,석사,박사,연도,연봉별 직무,나머지,석사,박사
CA,1395,MT,1,CA,128017.13,데이터 과학자,2543,Booz Allen Hamilton,151,Consulting and Business Services,733,python,512,901,1912,556,1818,951,python,144,412,861,957,674,277,sql,985,Python,1818,Python,951,SQL,1044,Python,901,Python,1912,2018,960,1033,2018,데이터 과학자,372,975,2018,초급 데이터 과학자,151,42,88
NY,601,SD,1,NY,123618.27,데이터 분석가,1793,Harnham,87,Internet and Software,647,sql,1044,867,1193,985,1560,559,sql,367,618,840,720,388,171,python,556,SQL,1560,ML,761,Tableau,538,SQL,867,ML,1842,,,,2018,데이터 엔지니어,253,83,2018,중급 데이터 과학자,809,256,415
VA,334,ND,1,VA,117544.05,데이터 엔지니어,1379,Capgemini,84,Banks and Financial Services,459,aws,132,558,355,158,565,322,aws,41,117,245,320,224,98,r,459,ML,1266,Hadoop,602,Python,512,Hadoop,761,R,1550,,,,2018,데이터 분석가,335,75,2018,고급 데이터 과학자,336,74,372
TX,329,VT,2,WA,117499.16,,,Facebook,65,Health Care,339,ML,166,289,1842,268,1266,763,ML,67,201,579,687,533,230,tableu,445,R,1249,Spark,568,R,456,Spark,719,SQL,1193,,,,,,,,2018,초급 데이터 엔지니어,116,21,15
MA,271,WY,2,DE,117057.94,,,KPMG LLP,64,Insurance,227,r,456,228,1550,459,1249,526,r,48,311,648,601,376,150,,,,,,,,,,,,,,,,,,,,2018,중급 데이터 엔지니어,640,161,47
IL,240,WV,3,USA,115914.63,,,Walmart,59,Industrial Manufacturing,153,hadoop,126,761,827,109,1003,602,hadoop,12,97,410,593,424,178,,,,,,,,,,,,,,,,,,,,2018,고급 데이터 엔지니어,287,71,21
WA,222,OK,4,NJ,115233.62,,,Capital One,54,Aerospace and Defense,129,tableau,538,214,484,445,610,181,tableau,162,223,357,253,138,43,,,,,,,,,,,,,,,,,,,,2018,초급 데이터 분석가,1041,228,39
MD,169,NM,5,MA,114242.78,,,JPMorgan Chase,51,Retail,122,sas,310,67,564,287,477,177,sas,131,156,288,189,124,53,,,,,,,,,,,,,,,,,,,,2018,중급 데이터 분석가,264,75,19
DC,140,HI,6,DC,112284.87,,,Google,40,Education and Schools,121,spark,67,719,745,80,883,568,spark,9,71,347,536,397,171,,,,,,,,,,,,,,,,,,,,2018,고급 데이터 분석가,78,32,17
PA,139,LA,6,IL,112186.63,,,IBM,38,Computers and Electronics,99,java,101,704,675,136,849,495,java,34,102,375,474,359,136,,,,,,,,,,,,,,,,,,,,2018,합계,3722,969,1033
NC,139,ID,6,REMOTE,111817.18,,,,,Consumer Goods and Services,98,scala,138,700,547,135,765,485,scala,47,88,314,451,322,163,,,,,,,,,,,,,,,,,,,,,,,,
GA,139,NH,7,MD,111744.75,,,,,"Media, News and Publishing",96,flink,2,70,7,1,52,26,flink,0,1,25,27,19,7,,,,,,,,,,,,,,,,,,,,,,,,
NJ,128,RI,7,ND,109999,,,,,Telecommunications,73,mongo,11,168,99,23,179,76,mongo,3,20,88,91,61,15,,,,,,,,,,,,,,,,,,,,,,,,
CO,109,KS,9,MT,109999,,,,,Human Resources and Staffing,73,google_an,76,30,27,65,56,12,google_an,28,37,33,23,6,6,,,,,,,,,,,,,,,,,,,,,,,,
